# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPAC1093.06c	dhc1	SPAC30C2.01c	dynein heavy chain, minus-end directed microtubule motor Dhc1
SPAC1093.07			dubious
SPAC10F6.01c	sir1	SPAC4C5.05c	sulfite reductase beta subunit Sir1
SPAC10F6.02c	prp22		ATP-dependent RNA helicase, spliceosomal Prp22
SPAC10F6.03c	cts1		CTP synthase Cts1
SPAC10F6.04	ats1		RCC domain protein Ats1
SPAC10F6.05c	ubc6		ubiquitin conjugating enzyme E2 Ubc6
SPAC10F6.06	vip1		RNA-binding protein Vip1
SPAC10F6.07c	mug94		Schizosaccharomyces pombe specific protein Mug94
SPAC10F6.08c	nht1	hap1,nhp10,nht10	Ino80 complex HMG box subunit Nht1
SPAC10F6.09c	psm3	smc3	mitotic/meiotic cohesin complex ATPase subunit Psm3/Smc3
SPAC10F6.10	rio1		protein kinase, RIO family Rio1
SPAC10F6.11c	atg17		autophagy associated protein kinase activator Atg17
SPAC10F6.12c	mam4		protein-S isoprenylcysteine O-methyltransferase Mam4
SPAC10F6.13c	caa1	aat2	cytoplasmic aspartate aminotransferase Caa1
SPAC10F6.14c			mitochondrial ABC1 kinase-like protein, human ADCK5 ortholog, unknown role, possible chaperone for ubiquinone biosynthesis
SPAC10F6.15			UPF0300 family protein 1
SPAC10F6.16	igo1	mug134	serine/threonine protein phosphatase inhibitor, endosulfine Igo1
SPAC10F6.17c		SPAC56E4.01c	mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase
SPAC110.01	ppk1	SPAC140.05	serine/threonine protein kinase Ppk1
SPAC110.02	pds5		mitotic and meiotic cohesin loader subunit Pds5
SPAC110.03	cdc42		Rho family GTPase Cdc42
SPAC110.04c	pss1	ssp1,SPAP14E8.01c	heat shock protein Pss1
SPAC110.06		SPAC110.05	dubious
SPAC1142.01	rqc1	SPAC17G6.18	ribosome quality control complex (RQC) complex subunit Rqc1
SPAC1142.02c	sgt2	SPAC17G6.19c	TRC complex (ER membrane insertion) TPR repeat subunit Sgt2
SPAC1142.03c	swi2	SPAC17G6.20c	DNA recombination mediator Swi2
SPAC1142.04	noc201	noc2	Noc complex subunit Noc201
SPAC1142.05	ctr5		plasma membrane copper transporter complex subunit Ctr5
SPAC1142.06	get3		GET complex (ER membrane insertion) ATPase subunit Get3
SPAC1142.07c	vps32	snf7	ESCRT III complex subunit Vps32
SPAC1142.08	fhl1	SPAC8C9.01	DNA-binding forkhead transcription factor for ribosomal proteins Fhl1
SPAC1142.09		SPAC8C9.02	dubious
SPAC11D3.01c			Con-6 family conserved fungal protein
SPAC11D3.02c			ELLA family acetyltransferase
SPAC11D3.03c			aminomethyltransferase-like and DUF1989 family protein, implicated in urea metabolism
SPAC11D3.04c			polyketide cyclase SnoaL-like domain protein
SPAC11D3.05	mfs2		transmembrane transporter Mfs2
SPAC11D3.06			MatE family transmembrane transporter
SPAC11D3.07c	toe4		DNA-binding transcription factor, zf-fungal binuclear cluster type
SPAC11D3.08c			amino acid/polyamine family transmembrane transporter
SPAC11D3.09	agm1		agmatinase 1, Agm1
SPAC11D3.10			nifs homolog, possible cysteine desulfurase, implicated in iron-sulfur cluster assembly
SPAC11D3.11c			DNA-binding transcription factor, zn(2)-C6 fungal-type, truncated
SPAC11D3.13	hsp3104		ThiJ domain protein, glyoxylase III
SPAC11D3.14c			5-oxoprolinase (ATP-hydrolizing)
SPAC11D3.15			5-oxoprolinase (ATP-hydrolizing)
SPAC11D3.16c			Schizosaccharomyces specific protein
SPAC11D3.17			DNA-binding transcription factor, zf-fungal binuclear cluster type
SPAC11D3.18c			plasma membrane carboxylic acid transmembrane transporter
SPAC11D3.19			Schizosaccharomyces pombe specific microprotein, GPI anchored
SPAC11D3.20			dubious
SPAC11E3.01c	swr1	SPAC2H10.03c,mod22	Swr1 complex histone chaperone module subunit, SNF2 family ATP-dependent chromatin remodeller Swr1
SPAC11E3.02c	ync13		Munc family exocytic/endocytic regulator Ync13
SPAC11E3.03	csm1	pcs1	microtubule-site clamp monopolin complex subunit Csm1/Pcs1
SPAC11E3.04c	ubc13	spu13,sst5	ubiquitin conjugating enzyme E2 Ubc13
SPAC11E3.05	sea3		GATOR2-SEACAT complex/GATOR1-SEACIT GTPase complex ubiquitin-protein ligase E3 subunit Sea3
SPAC11E3.06	map1		DNA-binding transcription factor, MADS-box Map1
SPAC11E3.07	vma4		V-type ATPase V1 subunit E
SPAC11E3.08c	nse6	cor1	Smc5-6 complex non-SMC subunit Nse6
SPAC11E3.09	pyp3		protein tyrosine phosphatase Pyp3
SPAC11E3.10			ER or Golgi multispanning membrane VanZ-like family protein
SPAC11E3.11c	syt22		ArfGEF Syt22
SPAC11E3.12			mitochondrial thioredoxin family protein, implicated in sulfur cluster assembly
SPAC11E3.13c	gas5		cell wall 1,3-beta-glucanosyltransferase Gas5
SPAC11E3.14			protein with a role in clearing protein aggregates
SPAC11E3.15	rpl22	SPAP8A3.01	60S ribosomal protein L22
SPAC11G7.01	mtl2		plasma membrane-associated serine-rich cell wall sensor Mtl2
SPAC11G7.02	pub1		HECT-type ubiquitin-protein ligase E3 Pub1
SPAC11G7.03	idh1	glu3	isocitrate dehydrogenase (NAD+) subunit 1 Idh1
SPAC11G7.04	ubi1		ribosomal-ubiquitin fusion protein Ubi1
SPAC11G7.05c	mct1		mitochondrial [acyl-carrier protein] S-malonyltransferase Mct1
SPAC11G7.06c	mug132		UPF0300 family protein 3
SPAC11H11.01	sst6	cps23	ESCRT I complex subunit Vps23
SPAC11H11.02c	mug162		Schizosaccharomyces specific protein Mug162
SPAC11H11.03c			ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity implicated in DNA repair
SPAC11H11.04	mam2		pheromone p-factor receptor Mam2
SPAC11H11.05c	fta6		Mis6-Sim4 complex subunit Fta6
SPAC11H11.06	arp2	SPAC22F8.01	ARP2/3 actin-organizing complex actin-related protein subunit Arp2
SPAC1250.01	snf21	SPAC29A4.21,brg1	RSC-type complex ATPase Snf21
SPAC1250.02	mug95		Schizosaccharomyces specific protein Mug95
SPAC1250.03	ubc14		ubiquitin conjugating enzyme E2 for HECT-type and RBR family E3 Ub ligases, Ubc14
SPAC1250.04c	atl1		alkyltransferase-like protein Atl1
SPAC1250.05	rpl3002	rpl30-2,rpl30	60S ribosomal protein L30
SPAC1250.07	sfc7		transcription factor TFIIIC subunit Sfc7
SPAC1296.01c		SPAC22F3.01	phosphoacetylglucosamine mutase
SPAC1296.02	cox4		cytochrome c oxidase subunit IV
SPAC1296.03c	sxa2		serine carboxypeptidase Sxa2
SPAC1296.04	mug65		tectonin WD repeat-containing, dysferlin-like autophagy-related protein Mug65
SPAC1296.05c	lcp1		cyclin L family cyclin
SPAC1296.06	tah18		CIA machinery NADPH-dependent diflavin oxidoreductase Tah18
SPAC12B10.01c		SPAC31F12.02c,SPAC637.15c	HECT-type ubiquitin-protein ligase E3, implicated in negative regulation of ubiquitinated chromatin formation
SPAC12B10.02c	sdg1	pho86	ER resident protein acetylase Sdg1
SPAC12B10.03	bun62	wdr20	WD repeat protein Wdr20
SPAC12B10.04	pby1		P-body associated protein Pby1
SPAC12B10.05	icp55	ppp43	mitochondrial intermediate cleavage peptidase Icp55
SPAC12B10.06c	emi5		succinate dehydrogenase complex assembly protein Emi5
SPAC12B10.07	acp1		F-actin capping protein alpha subunit
SPAC12B10.08c	til1		mitochondrial tRNA(Ile)-lysidine synthetase Til1
SPAC12B10.09	pet801		mitochondrial carrier, S-adenosylmethionine
SPAC12B10.10	nod1		medial cortical node Gef2-related protein Nod1
SPAC12B10.11	exg2		cell wall glucan glucosidase Exg2
SPAC12B10.12c	rhp41	rhp4a	DNA repair protein Rhp41
SPAC12B10.13	gid8		GID complex subunit Gid8
SPAC12B10.14c	tea5	ppk2	pseudokinase Tea5
SPAC12B10.15c	rnh203		ribonuclease H2 complex subunit Rnh203
SPAC12B10.16c	mug157		alpha-mannosidase GH125 family Mug157
SPAC12G12.01c	sea4	SPAC630.02	GATOR2-SEACAT complex ubiquitin-protein ligase E3 subunit Sea4
SPAC12G12.02	efg1	SPAC630.01c	rRNA processing protein Efg1
SPAC12G12.03	cip2		splicing factor, RNA-binding protein Cip2
SPAC12G12.04	mcp60	hsp60	mitochondrial heat shock protein Hsp60/Mcp60
SPAC12G12.05c	taf9		SAGA complex/transcription factor TFIID complex subunit Taf9
SPAC12G12.06c	rcl1		rRNA processing protein Rcl1
SPAC12G12.07c	cpn1		caprin, Cpn1
SPAC12G12.08	mrpl6		mitochondrial ribosomal protein subunit L6
SPAC12G12.09	eti1		WD repeat protein associated with stress granule
SPAC12G12.10	wdr21		WD repeat protein, human DDB1 and CUL4-associated factor 4 ortholog Wdr21
SPAC12G12.11c	miy1		Lys48-specific deubiquitinase Mindy family, Miy1
SPAC12G12.12	gms2		Golgi UDP-galactose transmembrane transporter Gms2
SPAC12G12.13c	cid14		TRAMP complex poly(A) polymerase subunit Cid14
SPAC12G12.14c	pfs2	cin2	mRNA cleavage and polyadenylation specificity factor complex, WD repeat protein Pfs2
SPAC12G12.15	sif3	mrx102,mrx10	mitochondrial protein, involved in mitochondrial gene expression
SPAC12G12.16c		SPAC18B11.01c	Fen1 family nuclease, XP-G family
SPAC12G12.17	nce101		non-classical export protein Nce101
SPAC1327.01c		SPAC1783.09c,SPAC18G6.16c	DNA-binding transcription factor, zf-fungal binuclear cluster type
SPAC139.01c	mkt1	SPAC955.02c	post-transcriptional RNA stability regulator Mkt1
SPAC139.02c	oac1		mitochondrial carrier, ocaloacetate family anion
SPAC139.03	toe2		DNA-binding transcription factor, zf-fungal binuclear cluster type Toe2
SPAC139.04c	fap2		L-saccharopine oxidase
SPAC139.05	ssd2		succinate-semialdehyde dehydrogenase Ssd2
SPAC139.06	hat1	SPAC23C4.01,kat1	histone acetyltransferase Hat1
SPAC1399.01c			nucleobase transmembrane transporter
SPAC1399.02			plasma membrane basic amino acid transmembrane transporter
SPAC1399.03	fur4		plasma membrane uracil transmembrane transporter
SPAC1399.04c	uck2		uracil phosphoribosyltransferase Uck2
SPAC1399.05c	toe1		DNA-binding transcription factor, zf-fungal binuclear cluster type, Toe1
SPAC1399.06			dubious
SPAC13A11.01c	rga8	SPAC2F7.18c	RhoGAP Rga8
SPAC13A11.02c	erg11		lanosterol 14-demethylase (cytochrome P450) Erg11
SPAC13A11.03	mcp7	mug32,mnd1	meiosis specific coiled-coil protein Mcp7
SPAC13A11.04c	ubp8		SAGA complex ubiquitin C-terminal hydrolase Ubp8
SPAC13A11.05	ysp2	yspII,ppp18	peptidase family M17 cytoplasmic leucyl aminopeptidase yspII (LAP yspII)
SPAC13A11.06	pdc202	SPAC3H8.01	pyruvate decarboxylase
SPAC13C5.01c	pre9	SPAC31A2.17c	20S proteasome complex subunit alpha 3 Pre9
SPAC13C5.02	dre4		splicing associated factor Dre4
SPAC13C5.03	tht1		nuclear membrane protein involved in karyogamy Tht1
SPAC13C5.04			class I glutamine amidotransferase family protein, conserved in fungi, bacteria, plants
SPAC13C5.05c			N-acetylglucosamine-phosphate mutase
SPAC13C5.06c	mug121		Schizosaccharomyces pombe specific protein Mug121
SPAC13C5.07	mre11	rad32	Mre11 nuclease
SPAC13D1.01c	Tf2-7		retrotransposable element/transposon Tf2-type
SPAC13D6.01	pof14		F-box protein Pof14
SPAC13D6.02c	byr3		translational activator, zf-CCHC type zinc finger protein
SPAC13D6.03c	trm9		tRNA (uridine) methyltransferase Trm9
SPAC13D6.04c	btb3		BTB/POZ family substrate adaptor for cullin 3 ubiquitin ligase Btb3
SPAC13D6.05	alp11	SPAC4G9.01	tubulin specific chaperone cofactor B
SPAC13F5.01c	msh1	SPAC23C11.18c	mitochondrial MutS protein Msh1
SPAC13F5.02c	taf7	ptr6	transcription factor TFIID complex subunit Taf7
SPAC13F5.03c	gld1		mitochondrial glycerol dehydrogenase Gld1
SPAC13F5.04c	vta1	vts1,new6,SPAC13F5.08	Vps20 associated protein Vta1
SPAC13F5.05	mpd1		thioredoxin family protein Mpd1
SPAC13F5.06c	sec10	Exo5	exocyst complex subunit Exo5
SPAC13F5.07c	hpz2		zf PARP type zinc finger protein Hpz2
SPAC13G6.01c	rad8	SPAC5H10.14c	ATP-dependent chromatin remodeller/ubiquitin-protein ligase E3 Rad8
SPAC13G6.02c	rps101	rps1-1,rps3a-1	40S ribosomal protein S3a
SPAC13G6.03	gpi7		Pig-G, CP2 mannose-ethanolamine phosphotransferase GPI anchor biosynthesis protein Gpi7
SPAC13G6.04	tim8		Tim8-Tim13 mitochondrial intermembrane space protein transporter complex subunit Tim8
SPAC13G6.05c	trs33		TRAPPI,II,III complex subunit Trs33
SPAC13G6.06c	gcv2		glycine cleavage complex subunit P
SPAC13G6.07c	rps601	rps6-1,p27,rps6	40S ribosomal protein S6
SPAC13G6.08	fzr2		meiotic fizzy-related APC coactivator Fzr2
SPAC13G6.09	tsr402	tsr4	SSU-rRNA maturation protein Tsr4 homolog 2 Tsr402
SPAC13G6.10c	asl1		cell wall protein Asl1, predicted O-glucosyl hydrolase
SPAC13G6.11c	erg12		mevalonate kinase Erg12
SPAC13G6.12c	chs1	SPAC24B11.01c	chitin synthase I
SPAC13G6.13		SPAC24B11.02	dubious
SPAC13G6.14	aps1	SPAC24B11.03,stw1	diadenosine 5',5'''-p1,p6-hexaphosphate hydrolase Aps1
SPAC13G6.15c	rcn1	SPAC24B11.04c	serine/threonine protein phosphatase (calcipressin) regulatory subunit Rcn1
SPAC13G7.01c	erg7	SPAC4G9.21c	lanosterol synthase Erg7
SPAC13G7.02c	ssa1	hsp70	Hsp70 family heat shock protein Ssa1
SPAC13G7.03	upf3		up-frameshift suppressor 3 family protein
SPAC13G7.04c	mac1		plasma membrane anchored protein, claudin family, predicted membrane sensor Mac1
SPAC13G7.05	are1		acyl-CoA-sterol acyltransferase Are1
SPAC13G7.06	met16		phosphoadenosine phosphosulfate reductase
SPAC13G7.07	arb2		argonaute binding protein 2
SPAC13G7.08c	crb3	ipi3	rixosome complex WD repeat subunit Crb3
SPAC13G7.09c			conserved fungal nucleolar protein, implicated in rDNA metabolism or ribosome biogenesis
SPAC13G7.10	teb1	mug152,tay1,spX	DNA-binding transcription factor Teb1
SPAC13G7.11	mba1		mitochondrial membrane-associated ribosome receptor Mba1
SPAC13G7.12c	eki1		choline/ethanolamine kinase Eki1
SPAC13G7.13c	msa1	SPAC6C3.01c	RNA-binding protein Msa1
SPAC140.01	sdh2		succinate dehydrogenase (ubiquinone) iron-sulfur protein subunit
SPAC140.02	gar2		nucleolin, nucleolar histone chaperone required for rRNA metabolism
SPAC140.03	arb1	csp12	argonaute inhibitor protein 1
SPAC140.04	ctr1		MTREC associated protein Ctr1
SPAC1420.01c	mks1	SPAC56E4.08c	GATA-like domain protein
SPAC1420.02c	cct5		chaperonin-containing T-complex epsilon subunit Cct5
SPAC1420.03	rpn501	rpn5-a,rpn5	19S proteasome regulatory subunit Rpn501
SPAC1420.04c	cox1101	cox11,SPAPB17E12.01c	cytochrome c oxidase assembly protein Cox1101/ mitochondrial ribosome assembly protein Rsm22 fusion protein
SPAC144.01			Schizosaccharomyces specific protein, implicated in rRNA processing
SPAC144.02	iec1		Ino80 complex subunit Iec1
SPAC144.03	ade2	min10,min3	adenylosuccinate synthetase Ade2
SPAC144.04c	spe1		ornithine decarboxylase Spe1
SPAC144.05	irc20		DNA-dependent ATPase/ ubiquitin-protein ligase E3 Irc20
SPAC144.06	apl5		AP-3 adaptor complex subunit Apl5
SPAC144.07c	gpn2		conserved GTPase Gpn2
SPAC144.08	jac1		mitochondrial (2Fe-2S) cluster assembly co-chaperone Jac1
SPAC144.09c	sfc2		transcription factor TFIIIA
SPAC144.10c	gwt1	mug59	pig-W
SPAC144.11	rps1102	rps11-2,rps11	40S ribosomal protein S11
SPAC144.12	rki1		ribose 5-phosphate isomerase Rki1
SPAC144.13c	srw1	ste9	substrate-specific mitotic G1 APC coactivator Srw1/Ste9
SPAC144.14	klp8		kinesin-like protein Klp8
SPAC144.15c	cog1		Golgi transport complex subunit Cog1
SPAC144.16	cia2		CIA machinery protein Cia2
SPAC144.17c			6-phosphofructo-2-kinase
SPAC144.18	vrg4		Golgi GDP-mannose transmembrane transporter Vrg4
SPAC144.19	prl46	SPNCRNA.46,ORF18274	Schizosaccharomyces specific protein
SPAC1486.01	sod2		mitochondrial superoxide dismutase Sod2
SPAC1486.02c	dsc2	ucp14	Golgi Dsc E3 ligase complex transmembrane subunit, C-terminal UBA domain Dsc2
SPAC1486.03c	ntr1		RNA-binding splicing factor Ntr1
SPAC1486.04c	alm1		nucleoporin Alm1
SPAC1486.05	nup189	nup98,nup96,nup189N,nup189C	nucleoporin Nup98 and Nup96
SPAC1486.06	npt1		nicotinate phosphoribosyltransferase Npt1
SPAC1486.07c	mrpl19	mrp19	mitochondrial ribosomal protein subunit L11
SPAC1486.08	cox16		mitochondrial copper chaperone for cytochrome c oxidase Cox16
SPAC1486.09	nob1		ribosome biogenesis protein Nob1
SPAC1486.10	thi1	ntf1,SPAC6G10.01	DNA-binding transcription factor Thi1
SPAC1486.11	fmc1	new3	mitochondrial proton-transporting ATP synthase complex assembly factor, LYR family, Fmc1
SPAC14C4.01c	atg43	SPAC19D5.08c	mitophagy receptor Atg43
SPAC14C4.02c	smc5	spr18	Smc5-6 complex SMC P-loop ATPase subunit Smc5
SPAC14C4.03	mek1		Cds1/Rad53/Chk2 family protein kinase Mek1
SPAC14C4.04			ThiJ domain protein
SPAC14C4.05c	man1	heh2,mug61	LEM domain nuclear inner membrane protein Man1, Sad1 interacting factor
SPAC14C4.06c	nab2		nuclear poly(A) binding protein Nab2
SPAC14C4.07			transmembrane transporter
SPAC14C4.08	mug5		dynactin complex subunit Mug5
SPAC14C4.09	agn1		cell wall glucan endo-1,3-alpha-glucosidase Agn1
SPAC14C4.10c			Nudix family hydrolase
SPAC14C4.11	vtc2	vtc3	vacuolar transporter chaperone (VTC) complex polyphosphate synthetase subunit Vtc2/3
SPAC14C4.12c	laf1		Clr6 associated factor 1 Laf1
SPAC14C4.13	rad17		RFC related checkpoint protein Rad17
SPAC14C4.14	atp1		F1-FO ATP synthase alpha subunit
SPAC14C4.15c	dpp1	SPAPJ760.01c,ppp21	vacuolar dipeptidyl peptidase
SPAC14C4.16	dad3		DASH complex subunit Dad3
SPAC1527.01	mok11	SPAC23D3.15	cell wall alpha-1,3-glucan synthase Mok11
SPAC1527.02	sft2		Golgi transport protein Sft2
SPAC1527.03	slr1		RNA-binding protein, LARP1 family Slr1
SPAC1556.01c	rad50	SPAP4C9.01c	DNA repair protein Rad50
SPAC1556.02c	sdh1		succinate dehydrogenase Sdh1
SPAC1556.03	azr1		mitochondrial protein phosphatase Azr1
SPAC1556.04c	cdd1	pcd1	cytidine deaminase Ccd1
SPAC1556.05c	cgr1		ribosome biogenesis CGR1 family
SPAC1556.06	meu1	meu1-1,SPAC1556.06a,meu1-2,SPAC1556.06b,SPAC1556.06.1	Schizosaccharomyces specific protein
SPAC1556.07	pmm1		phosphomannomutase Pmm1
SPAC1556.08c	cbs2	SPAC1F12.01c	serine/threonine protein kinase AMPK (gamma) subunit Cbs2
SPAC1565.01	rcf2		cytochrome c oxidase subunit Rcf2
SPAC1565.02c	rga10	p50RhoGAP,BCH	RhoGAP, with CRAL-TRIO domain Rga10
SPAC1565.03			Schizosaccharomyces specific protein
SPAC1565.04c	ste4		MAPK cascade adaptor protein Ste4
SPAC1565.05	utp8		small subunit processome, t-UTP complex subunit Utp8
SPAC1565.06c	spg1	sid3	SIN signalling GTPase Spg1
SPAC1565.07c	knd1		Cullin-associated NEDD8-dissociated protein Knd1
SPAC1565.08	cdc48	SPAC6F12.01,dsc6	AAA family ATPase involved in ubiquitin-mediated protein degradation Cdc48
SPAC15A10.01	atm1	SPAC8C9.18	mitochondrial iron-sulfur cluster exporter Atm1
SPAC15A10.02	taf12		SAGA complex/transcription factor TFIID complex subunit A Taf12
SPAC15A10.03c	rad54	rhp54	DNA-dependent ATPase Rad54/Rhp54
SPAC15A10.04c	zpr1		EF-1 alpha folding chaperone, zinc finger protein Zpr1
SPAC15A10.05c	mug182		NADHX epimerase
SPAC15A10.06			CPA1 sodium ion/proton antiporter
SPAC15A10.07			Schizosaccharomyces specific protein
SPAC15A10.08	ain1		alpha-actinin
SPAC15A10.09c	pun1	sur7	plasma membrane anchored protein, claudin family, SUR7 subfamily, predicted membrane sensor Pun1
SPAC15A10.10	mde6		Muskelin homolog, kelch repeat, expressed during meiotic cell cycle, implicated in actin cytoskeletal processes
SPAC15A10.11	ubr11		ubiquitin-protein ligase E3 (UBR family) Ubr11
SPAC15A10.12c	tca17		TRAPP complex subunit 2-like Tca17
SPAC15A10.13	ppk3		protein kinase domain and HEAT repeat protein Ppk3
SPAC15A10.15	sgo2		centromeric adaptor, shugoshin Sgo2
SPAC15A10.16	bud6	aip3,fat1,SPAC15E1.01	actin nucleation-promoting factor Bud6/Aip3
SPAC15A10.17	coa2	new5	cytochrome c oxidase assembly protein Coa2
SPAC15E1.02c			DUF1761 family protein
SPAC15E1.03	rpl42	rpl36a	60S ribosomal protein L36/L42
SPAC15E1.04	hal3	tds1	thymidylate synthase / phosphopantothenoylcysteine decarboxylase / protein phosphatase inhibitor moonlighting protein Hal3/Tds1
SPAC15E1.05c	ect1		ethanolamine-phosphate cytidylyltransferase
SPAC15E1.06	vps29		retromer complex subunit Vps29
SPAC15E1.07c	moa1	mug159	meiosis specific kinetochore regulator (Meikin) Moa1
SPAC15E1.08	naa10	ard1	NatA N-acetyltransferase complex catalytic subunit Naa10
SPAC15E1.09	grx2		glutaredoxin Grx2
SPAC15E1.10	fub1	SPAP7G5.01	PI31 proteasome inhibitor Fub1
SPAC15F9.01c	glm1		Glomulin, ubiquitin-protein transferase inhibitor Glm1
SPAC15F9.02	seh1		GATOR2-SEACAT complex WD repeat subunit Seh1
SPAC15F9.03c	nxt2	ntf2,nft2,SPAC1B9.01c	nuclear import protein Nxt2
SPAC16.01	rho2		Rho family GTPase Rho2
SPAC16.02c	srp2	npl3	guard protein for 5'-capping of pre-mRNAs Srp2/Npl3
SPAC16.03c	ura2		dihydroorotase Ura2
SPAC16.04	dus3		tRNA/mRNA dihydrouridine synthase Dus3
SPAC16.05c	sfp1		DNA-binding transcription factor for ribosome biogenesis Sfp1
SPAC1610.01	saf5	SPAC17A5.17,icln,lot5	methylosome subunit pICln, Saf5
SPAC1610.02c	mrpl1		mitochondrial ribosomal protein subunit L1
SPAC1610.03c	crp79	meu5	poly(A) binding protein Crp79
SPAC1610.04	mmc1	mug99	mitochondrial MICOS interactor required for cristae morphology Mmc1
SPAC1635.01	por1		mitochondrial outer membrane voltage-dependent anion-selective channel Por1
SPAC1639.01c	elo1	SPAC806.09c,elo2	fatty acid elongase Elo1
SPAC1639.02c	trk2	SPAC1F5.12	plasma membrane potassium ion transmembrane transporter Trk2
SPAC167.01	ire1	ppk4	serine/threonine protein kinase, sensor for unfolded proteins in the ER Ire1
SPAC167.02	ptb1		geranylgeranyltransferase II beta subunit Ptb1
