acc	GO_name	systematic_id	symbol	gene_product_description	evidence_code	source	assigned_by
GO:0000124	SAGA complex	SPAC4D7.10c	spt20	SAGA complex subunit Spt20	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC4D7.10c	spt20	SAGA complex subunit Spt20	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC57A10.14	sgf11	SAGA complex deubiquitinating submodule subunit Sgf11	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC57A10.14	sgf11	SAGA complex deubiquitinating submodule subunit Sgf11	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC14C8.17c	spt8	SAGA complex WD repeat subunit Spt8	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC14C8.17c	spt8	SAGA complex WD repeat subunit Spt8	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC15D4.14	taf51	transcription factor TFIID complex subunit Taf5-like	IBA	GO_REF:0000033	GO_Central
GO:0000124	SAGA complex	SPBC1921.07c	sgf29	SAGA complex subunit Sgf29	IDA	PMID:19056896,PMID:26401015	PomBase
GO:0000124	SAGA complex	SPBC1921.07c	sgf29	SAGA complex subunit Sgf29	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC21H7.02	taf10	SAGA complex/transcription factor TFIID complex subunit Taf10	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC21H7.02	taf10	SAGA complex/transcription factor TFIID complex subunit Taf10	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC25H2.11c	spt7	SAGA complex bromodomain subunit Spt7	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC25H2.11c	spt7	SAGA complex bromodomain subunit Spt7	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC28F2.10c	ngg1	SAGA complex subunit Ngg1/Ada3	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC28F2.10c	ngg1	SAGA complex subunit Ngg1/Ada3	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC6B1.12c	sus1	SAGA complex deubiquitinating submodule subunit, TREX complex subunit Sus1	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC6B1.12c	sus1	SAGA complex deubiquitinating submodule subunit, TREX complex subunit Sus1	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC887.18c	hfi1	SAGA complex subunit Hfi1/Ada1	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC887.18c	hfi1	SAGA complex subunit Hfi1/Ada1	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBP16F5.03c	tra1	SAGA complex, phosphatidylinositol pseudokinase subunit Tra1	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBP16F5.03c	tra1	SAGA complex, phosphatidylinositol pseudokinase subunit Tra1	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC126.04c	sgf73	SAGA complex deubiquitinating submodule subunit Sgf73	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC126.04c	sgf73	SAGA complex deubiquitinating submodule subunit Sgf73	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC16C4.18c	taf6	SAGA complex/transcription factor TFIID complex histone H4-like subunit Taf6	IDA	PMID:11972332,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC16C4.18c	taf6	SAGA complex/transcription factor TFIID complex histone H4-like subunit Taf6	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC24B10.08c	ada2	SAGA complex subunit Ada2	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC24B10.08c	ada2	SAGA complex subunit Ada2	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC5E4.03c	taf5	SAGA complex/TATA-binding protein associated factor/transcription factor TFIID complex WD repeat subunit Taf5	IDA	PMID:11279037,PMID:11972332,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC5E4.03c	taf5	SAGA complex/TATA-binding protein associated factor/transcription factor TFIID complex WD repeat subunit Taf5	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC61.02	spt3	SAGA complex subunit Spt3	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC61.02	spt3	SAGA complex subunit Spt3	IPI	PMID:29079657	PomBase
GO:0000126	transcription factor TFIIIB complex	SPAC29E6.08	tbp1	TATA-binding protein (TBP)	ISO	GO_REF:0000024	PomBase
GO:0000126	transcription factor TFIIIB complex	SPBC13E7.10c	brf1	transcription factor TFIIIB complex subunit Brf1	IDA	PMID:12682361	PomBase
GO:0000126	transcription factor TFIIIB complex	SPCC1919.14c	bdp1	transcription factor TFIIIB complex subunit Bdp1	IBA	GO_REF:0000033	GO_Central
GO:0000127	transcription factor TFIIIC complex	SPAC1250.07	sfc7	transcription factor TFIIIC subunit Sfc7	IBA	GO_REF:0000033	GO_Central
GO:0000127	transcription factor TFIIIC complex	SPAC6F12.11c	sfc1	transcription factor TFIIIC complex A box associated subunit Sfc1	EXP	PMID:23921640	PomBase
GO:0000127	transcription factor TFIIIC complex	SPAC6F12.11c	sfc1	transcription factor TFIIIC complex A box associated subunit Sfc1	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC21H7.05	sfc6	transcription factor TFIIIC complex subunit Sfc6	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC336.07	sfc3	transcription factor TFIIIC complex B box binding subunit Sfc3	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC8D2.07c	sfc9	transcription factor TFIIIC complex subunit Sfc9	IBA	GO_REF:0000033	GO_Central
GO:0000127	transcription factor TFIIIC complex	SPCC16C4.14c	sfc4	transcription factor TFIIIC complex subunit Sfc4	IDA	PMID:10906331	PomBase
GO:0000136	mannan polymerase complex	SPBC8D2.17	gmh4	Golgi alpha-1,6-galactosyltransferase Gmh4	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPAC13F5.06c	sec10	exocyst complex subunit Exo5	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPAC17G8.12	sec3	exocyst complex subunit Exo1	IPI	PMID:22891673	PomBase
GO:0000145	exocyst	SPAC6F12.08c	exo8	exocyst complex subunit Exo8	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPBC106.20	exo70	exocyst complex subunit Exo7	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPCC1183.01	sec15	exocyst complex subunit Exo6	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPCC1235.10c	sec6	exocyst complex subunit Exo3	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPCC18.04	pof6	exocyst complex subunit Exo5-like, F-box protein Pof6	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPCC622.10c	sec5	exocyst complex subunit Exo2	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPCC970.09	sec8	exocyst complex subunit Exo4	IBA	GO_REF:0000033	GO_Central
GO:0000148	1,3-beta-D-glucan synthase complex	SPAC19B12.03	bgs3	cell wall 1,3-beta-glucan synthase catalytic subunit Bgs3	IC	GO_REF:0000111	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPAC24C9.07c	bgs2	spore wall 1,3-beta-glucan synthase catalytic subunit Bgs2	IC	PMID:10922478	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPBC1289.01c	chr4	SEL1/TPR repeat protein1, 3-beta-glucan synthase regulatory factor Chf3/Chr4	IPI	PMID:19237545	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPBC19G7.05c	bgs1	primary septum and spore wall linear 1,3-beta-glucan synthase catalytic subunit Bgs1	IC	PMID:12356913	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPCC1840.02c	bgs4	cell wall and secondary septum 1,6 branched 1,3-beta-glucan synthase catalytic subunit Bgs4	NAS	GO_REF:0000051	PomBase
GO:0000164	protein phosphatase type 1 complex	SPAC227.15	reg1	serine/threonine protein phosphatase PP1 regulatory subunit Reg1	ISO	GO_REF:0000024	PomBase
GO:0000164	protein phosphatase type 1 complex	SPBC776.02c	dis2	serine/threonine protein phosphatase PP1 catalytic subunit Dis2	IPI	PMID:24554432	PomBase
GO:0000164	protein phosphatase type 1 complex	SPCC31H12.05c	sds21	serine/threonine protein phosphatase PP1 catalytic subunit Sds21	IPI	PMID:24554432	PomBase
GO:0000172	ribonuclease MRP complex	SPAC1805.18	pop6	RNase P and RNase MRP subunit Pop6/Pop7 ortholog	ISO	GO_REF:0000024	PomBase
GO:0000172	ribonuclease MRP complex	SPAC25B8.16	pop100	RNase P and RNase MRP subunit Pop100	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC323.08	rmp1	RNase MRP subunit Rmp1/NEPRO	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC3A12.04c	rpp1	RNase P and RNase MRP subunit p30, Rpp1	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC6C3.09	rpp40	RNase P and RNase MRP subunit Rpp40	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC1703.01c	pop4	RNase P and RNase MRP subunit Pop4	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC1709.20	pop8	RNase P and RNase MRP subunit Pop8	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC18H10.12c	rpl701	RNase MRP subunit, ribosomal protein L7-like Rpl701	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBP8B7.01c	pop7	RNase P and RNase MRP subunit Pop7	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC16C4.05	pop23	RNase P and RNase MRP subunit Pop23	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC16C4.19	rpp21	RNase MRP subunit Rpp21	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC830.09c	pop5	RNase P and RNase MRP subunit Pop5	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPNCRNA.82	mrp1	RNAse MRP	EXP	PMID:25401760	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC1F3.01	rrp6	exosome 3'-5' exoribonuclease subunit Rrp6	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC22A12.12c	rrp40	exosome subunit Rrp40	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC2F7.14c	rrp4	exosome subunit Rrp4	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC3G9.10c	rrp41	exosome subunit Rrp41	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPACUNK4.11c	mpp6	nuclear exosome-associated RNA binding protein Mpp6	ISO	GO_REF:0000024	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC115.01c	rrp46	exosome subunit Rrp46	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC16G5.10	rrp42	exosome subunit Rrp42	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC17D1.03c	rrp43	exosome subunit Rrp43	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC211.08c	mtr3	exosome subunit Mtr3	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC26H8.10	dis3	exosome 3'-5' exoribonuclease subunit Dis3	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC1739.07	cti1	exosome C1D family subunit Cti1	ISO	GO_REF:0000024	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC1840.11	csl4	exosome subunit Csl4	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC757.08	rrp45	exosome subunit Rrp45	EXP	PMID:29906447	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC22A12.12c	rrp40	exosome subunit Rrp40	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC2F7.14c	rrp4	exosome subunit Rrp4	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC3G9.10c	rrp41	exosome subunit Rrp41	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC115.01c	rrp46	exosome subunit Rrp46	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC16G5.10	rrp42	exosome subunit Rrp42	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC17D1.03c	rrp43	exosome subunit Rrp43	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC211.08c	mtr3	exosome subunit Mtr3	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC26H8.10	dis3	exosome 3'-5' exoribonuclease subunit Dis3	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPCC1840.11	csl4	exosome subunit Csl4	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPCC757.08	rrp45	exosome subunit Rrp45	IBA	GO_REF:0000033	GO_Central
GO:0000214	tRNA-intron endonuclease complex	SPAC959.10	sen15	tRNA-splicing endonuclease subunit Sen15	IBA	GO_REF:0000033	GO_Central
GO:0000214	tRNA-intron endonuclease complex	SPAPB17E12.07c	sen2	tRNA-splicing endonuclease catalytic subunit Sen2	IBA	GO_REF:0000033	GO_Central
GO:0000214	tRNA-intron endonuclease complex	SPBC19C7.07c	sen34	tRNA-splicing endonuclease catalytic subunit Sen34	ISO	GO_REF:0000024	PomBase
GO:0000214	tRNA-intron endonuclease complex	SPCC613.09	sen54	tRNA-splicing endonuclease subunit Sen54	IBA	GO_REF:0000033	GO_Central
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC16E8.07c	vph1	V-type ATPase V0 subunit a	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC17A2.03c	vma6	V-type ATPase V0 subunit d	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC1B3.14	vma3	V-type ATPase V0 subunit c (proteolipid subunit)	ISO	PMID:14735354	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC2C4.13	vma16	V-type ATPase V0 subunit c''	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC732.01	vma11	V-type ATPase V0 subunit c' (proteolipid subunit)	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPBC1685.16	vma9	V-type ATPase V0 subunit e	IBA	GO_REF:0000033	GO_Central
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC11E3.07	vma4	V-type ATPase V1 subunit E	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC343.05	vma1	V-type ATPase V1 domain, subunit A	ISO	PMID:14735354	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC637.05c	vma2	V-type ATPase V1 subunit B	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC7D4.10	vma13	V-type ATPase V1 subunit H	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAPB2B4.05	vma5	V-type ATPase V1 subunit C	IBA	GO_REF:0000033	GO_Central
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPBC1289.05c	vma10	V-type ATPase V1 domain subunit G	IBA	GO_REF:0000033	GO_Central
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPBC3B9.18c	vma7	V-type ATPase V1 subunit F	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPCC965.03	vma8	V-type ATPase V1 subunit D	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPAC19A8.13	usp101	U1 snRNP-associated protein Usp101	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPAC27D7.07c	smd1	Sm snRNP core protein Smd1	IBA	GO_REF:0000033	GO_Central
GO:0000243	commitment complex	SPAC4D7.13	prp40	U1 snRNP-associated protein Prp40	ISS	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPAP8A3.06	uaf2	U2 small nuclear RNA auxiliary factor small subunit, U2AF-23	IDA	PMID:12374752	PomBase
GO:0000243	commitment complex	SPBC146.07	prp2	U2 small nuclear RNA auxiliary factor small subunit, U2AF-59	IDA	PMID:12374752	PomBase
GO:0000243	commitment complex	SPBC19C2.14	smd3	Sm snRNP core protein Smd3	IBA	GO_REF:0000033	GO_Central
GO:0000243	commitment complex	SPBC4B4.09	prp39	U1 snRNP-associated protein Prp39	IBA	GO_REF:0000033	GO_Central
GO:0000243	commitment complex	SPBP35G2.09	usp103	U1 snRNP-associated protein Usp103	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPCC962.06c	bpb1	KH and CC/hC domain splicing factor Bpb1	IDA	PMID:12374752	PomBase
GO:0000333	telomerase catalytic core complex	SPBC29A3.14c	trt1	telomerase reverse transcriptase 1 protein Trt1	IDA	PMID:18157152,PMID:24793650	PomBase,UniProt
GO:0000333	telomerase catalytic core complex	SPNCRNA.214	ter1	telomerase RNA	IDA	PMID:18157149,PMID:18157152	PomBase
GO:0000346	transcription export complex	SPAC17G6.14c	uap56	TREX complex subunit, ATP-dependent RNA helicase Uap56	ISO	GO_REF:0000024	PomBase
GO:0000346	transcription export complex	SPBC1D7.04	mlo3	RNA-binding protein Mlo3	ISO	GO_REF:0000024	PomBase
GO:0000408	EKC/KEOPS complex	SPAC4H3.13	pcc1	EKC/KEOPS complex subunit Pcc1	IBA	GO_REF:0000033	GO_Central
GO:0000408	EKC/KEOPS complex	SPAC6B12.18	gon7	EKC/KEOPS complex subunit Gon7	ISO	GO_REF:0000024	PomBase
GO:0000408	EKC/KEOPS complex	SPAP27G11.07c	bud32	EKC/KEOPS complex associated ATPase Bud32	IBA	GO_REF:0000033	GO_Central
GO:0000408	EKC/KEOPS complex	SPBC16D10.03	kae1	EKC/KEOPS complex N(6)-L-threonylcarbamoyladenine synthase subunit	IBA	GO_REF:0000033	GO_Central
GO:0000408	EKC/KEOPS complex	SPCC24B10.12	cgi121	EKC/KEOPS complex subunit Cgi121	IBA	GO_REF:0000033	GO_Central
GO:0000417	HIR complex	SPBC15D4.03	slm9	histone H3.3-H4 chaperone, HIR complex WD repeat subunit Hip2	IDA	PMID:16428807,PMID:20976105	PomBase
GO:0000417	HIR complex	SPBC31F10.13c	hip1	histone H3.3-H4 chaperone, HIR complex WD repeat subunit, hira family Hip1	IDA	PMID:16428807,PMID:20976105	PomBase
GO:0000417	HIR complex	SPBC31F10.14c	hip3	histone H3.3-H4 chaperone, HIR complex subunit Hip3	IDA	PMID:16428807,PMID:20976105	PomBase
GO:0000417	HIR complex	SPBC947.08c	hip4	histone H3.3-H4 chaperone, HIR complex subunit Hip4	IDA	PMID:20976105	PomBase
GO:0000439	transcription factor TFIIH core complex	SPAC16E8.11c	tfb1	transcription factor TFIIH complex subunit Tfb1	IDA	PMID:15182371	PomBase
GO:0000439	transcription factor TFIIH core complex	SPAC17A5.06	ptr8	transcription factor TFIIH complex DNA helicase (human ERCC3) subunit Ptr8	ISO	GO_REF:0000024	PomBase
GO:0000439	transcription factor TFIIH core complex	SPAC1D4.12	rad15	transcription factor TFIIH complex DNA helicase (human ERCC2) subunit Rad15	ISO	GO_REF:0000024	PomBase
GO:0000439	transcription factor TFIIH core complex	SPBC13G1.13	tfb2	transcription factor TFIIH complex subunit Tfb2	IBA	GO_REF:0000033	GO_Central
GO:0000439	transcription factor TFIIH core complex	SPBC30B4.07c	tfb4	transcription factor TFIIH complex subunit Tfb4	IBA	GO_REF:0000033	GO_Central
GO:0000439	transcription factor TFIIH core complex	SPBC32F12.15	tfb5	transcription factor TFIIH complex subunit Tfb5	IBA	GO_REF:0000033	GO_Central
GO:0000439	transcription factor TFIIH core complex	SPCC1682.07	ssl1	transcription factor TFIIH complex subunit Ssl1	ISO	GO_REF:0000024	PomBase
GO:0000444	MIS12/MIND type complex	SPAC29E6.04	nnf1	MIS12/MIND complex subunit Nnf1	IDA	PMID:29180432	PomBase
GO:0000444	MIS12/MIND type complex	SPAC688.02c	mis14	MIS12/MIND complex Mis14/Nsl1	IPI	PMID:15369671	PomBase
GO:0000444	MIS12/MIND type complex	SPBC409.04c	mis12	MIS12/MIND complex Mis12	IDA	PMID:29180432	PomBase
GO:0000444	MIS12/MIND type complex	SPBC409.09c	mis13	MIS12/MIND complex Mis13/Dsn1	IBA	GO_REF:0000033	GO_Central
GO:0000500	RNA polymerase I upstream activating factor complex	SPAC22E12.08	rrn10	RNA polymerase I upstream activation factor complex subunit Rrn10	EXP	PMID:12490702	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPAC29A4.10	rrn5	RNA polymerase I upstream activation factor complex subunit Rrn5	EXP	PMID:12490702	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPAC29A4.10	rrn5	RNA polymerase I upstream activation factor complex subunit Rrn5	IDA	PMID:18362178	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPBC17D1.04	acr1	RNA polymerase I upstream activation factor complex subunit Acr1	IDA	PMID:18362178	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPCC285.17	spp27	RNA polymerase I upstream activation factor complex subunit Spp27	EXP	PMID:12490702	PomBase
GO:0000502	proteasome complex	SPAC1420.03	rpn501	19S proteasome regulatory subunit Rpn501	IDA	PMID:12553909	PomBase
GO:0000502	proteasome complex	SPAC31G5.13	rpn11	19S proteasome regulatory subunit, ubiquitin-specific protease subunit Rpn11	HDA	PMID:20838651	PomBase
GO:0000502	proteasome complex	SPAC31G5.13	rpn11	19S proteasome regulatory subunit, ubiquitin-specific protease subunit Rpn11	IDA	PMID:9822592	PomBase
GO:0000502	proteasome complex	SPAPB8E5.02c	rpn502	19S proteasome regulatory subunit Rpn502	IDA	PMID:12553909	PomBase
GO:0000502	proteasome complex	SPBC409.06	uch2	ubiquitin C-terminal hydrolase Uch2	HDA	PMID:20838651	PomBase
GO:0000502	proteasome complex	SPBP19A11.03c	mts4	19S proteasome regulatory subunit Rpn1/Mts4	IPI	PMID:9822592	PomBase
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPAC227.19c	pig25	pig-Y, phosphatidylinositol N-acetylglucosaminyltransferase subunit	ISO	GO_REF:0000024	PomBase
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPAC22A12.13	mug84	pig-P subunit	ISO	GO_REF:0000024	PomBase
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPBC30D10.11	gpi1	phosphatidylinositol N-acetylglucosaminyltransferase subunit pig-Q, Gpi1	ISO	GO_REF:0000024	PomBase
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPBC3D6.07	gpi3	pig-A, phosphatidylinositol N-acetylglucosaminyltransferase subunit Gpi3	IBA	GO_REF:0000033	GO_Central
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPBC685.05	gpi15	pig-H	IBA	GO_REF:0000033	GO_Central
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPCC550.04c	gpi2	pig-C	IBA	GO_REF:0000033	GO_Central
GO:0000783	nuclear telomere cap complex	SPBC1778.02	rap1	shelterin complex telomere binding subunit Rap1	IDA	PMID:11676925	PomBase
GO:0000811	GINS complex	SPAC227.16c	psf3	GINS complex subunit Psf3	IBA	GO_REF:0000033	GO_Central
GO:0000811	GINS complex	SPBC725.13c	psf2	GINS complex subunit Psf2	IBA	GO_REF:0000033	GO_Central
GO:0000811	GINS complex	SPBP23A10.09	psf1	GINS complex subunit Psf1	IBA	GO_REF:0000033	GO_Central
GO:0000811	GINS complex	SPBP4H10.21c	sld5	GINS complex subunit Sld5	IBA	GO_REF:0000033	GO_Central
