systematic_id	gene_name	peptide_id	domain_id	database	seq_start	seq_end
SPAC1006.01	psp3	SPAC1006.01.1:pep	PR00723	PRINTS	233	246
SPAC1006.01	psp3	SPAC1006.01.1:pep	PR00723	PRINTS	391	407
SPAC1006.01	psp3	SPAC1006.01.1:pep	PS00136	PROSITE	201	212
SPAC1006.01	psp3	SPAC1006.01.1:pep	PS00137	PROSITE	237	247
SPAC1006.01	psp3	SPAC1006.01.1:pep	PS00138	PROSITE	392	402
SPAC1006.01	psp3	SPAC1006.01.1:pep	PS51892	PROFILE	169	451
SPAC1006.01	psp3	SPAC1006.01.1:pep	PTHR43806	PANTHER	68	448
SPAC1006.01	psp3	SPAC1006.01.1:pep	SSF52743	SUPERFAMILY	74	430
SPAC1006.01	psp3	SPAC1006.01.1:pep	cd04077	CDD	170	431
SPAC1006.02	asa1	SPAC1006.02.1:pep	G3DSA:2.130.10.10	Gene3D	1	86
SPAC1006.02	asa1	SPAC1006.02.1:pep	G3DSA:2.130.10.10	Gene3D	87	368
SPAC1006.02	asa1	SPAC1006.02.1:pep	PF00400	PFAM	6	40
SPAC1006.02	asa1	SPAC1006.02.1:pep	PF00400	PFAM	330	365
SPAC1006.02	asa1	SPAC1006.02.1:pep	PS50082	PROFILE	334	368
SPAC1006.02	asa1	SPAC1006.02.1:pep	PS50294	PROFILE	334	368
SPAC1006.02	asa1	SPAC1006.02.1:pep	PTHR19854	PANTHER	165	367
SPAC1006.02	asa1	SPAC1006.02.1:pep	SM00320	SMART	3	41
SPAC1006.02	asa1	SPAC1006.02.1:pep	SM00320	SMART	44	82
SPAC1006.02	asa1	SPAC1006.02.1:pep	SM00320	SMART	237	274
SPAC1006.02	asa1	SPAC1006.02.1:pep	SM00320	SMART	286	324
SPAC1006.02	asa1	SPAC1006.02.1:pep	SM00320	SMART	327	366
SPAC1006.02	asa1	SPAC1006.02.1:pep	SSF50978	SUPERFAMILY	6	366
SPAC1006.03c	red1	SPAC1006.03c.1:pep	PF10650	PFAM	618	639
SPAC1006.03c	red1	SPAC1006.03c.1:pep	PTHR21563	PANTHER	523	666
SPAC1006.04c	mcp3	SPAC1006.04c.1:pep	PTHR20544	PANTHER	232	626
SPAC1006.04c	mcp3	SPAC1006.04c.1:pep	SSF57997	SUPERFAMILY	497	627
SPAC1006.05c	och1	SPAC1006.05c.1:pep	G3DSA:3.90.550.20	Gene3D	129	353
SPAC1006.05c	och1	SPAC1006.05c.1:pep	PF04488	PFAM	156	246
SPAC1006.05c	och1	SPAC1006.05c.1:pep	PTHR31834	PANTHER	7	393
SPAC1006.05c	och1	SPAC1006.05c.1:pep	SSF53448	SUPERFAMILY	138	337
SPAC1006.06	rgf2	SPAC1006.06.1:pep	G3DSA:1.10.10.10	Gene3D	203	336
SPAC1006.06	rgf2	SPAC1006.06.1:pep	G3DSA:1.20.900.10	Gene3D	420	652
SPAC1006.06	rgf2	SPAC1006.06.1:pep	G3DSA:2.30.29.30	Gene3D	656	806
SPAC1006.06	rgf2	SPAC1006.06.1:pep	PF00610	PFAM	216	284
SPAC1006.06	rgf2	SPAC1006.06.1:pep	PF00621	PFAM	451	632
SPAC1006.06	rgf2	SPAC1006.06.1:pep	PF00780	PFAM	837	1115
SPAC1006.06	rgf2	SPAC1006.06.1:pep	PF15405	PFAM	670	802
SPAC1006.06	rgf2	SPAC1006.06.1:pep	PS50010	PROFILE	447	634
SPAC1006.06	rgf2	SPAC1006.06.1:pep	PS50219	PROFILE	825	1120
SPAC1006.06	rgf2	SPAC1006.06.1:pep	PTHR46572	PANTHER	43	1148
SPAC1006.06	rgf2	SPAC1006.06.1:pep	SM00036	SMART	825	1132
SPAC1006.06	rgf2	SPAC1006.06.1:pep	SM00049	SMART	212	287
SPAC1006.06	rgf2	SPAC1006.06.1:pep	SM00325	SMART	451	633
SPAC1006.06	rgf2	SPAC1006.06.1:pep	SSF46785	SUPERFAMILY	206	306
SPAC1006.06	rgf2	SPAC1006.06.1:pep	SSF48065	SUPERFAMILY	429	651
SPAC1006.06	rgf2	SPAC1006.06.1:pep	cd00160	CDD	448	632
SPAC1006.06	rgf2	SPAC1006.06.1:pep	cd04435	CDD	204	285
SPAC1006.07	tif1	SPAC1006.07.1:pep	G3DSA:3.40.50.300	Gene3D	7	227
SPAC1006.07	tif1	SPAC1006.07.1:pep	G3DSA:3.40.50.300	Gene3D	228	392
SPAC1006.07	tif1	SPAC1006.07.1:pep	PF00270	PFAM	44	208
SPAC1006.07	tif1	SPAC1006.07.1:pep	PF00271	PFAM	245	353
SPAC1006.07	tif1	SPAC1006.07.1:pep	PS00039	PROSITE	166	174
SPAC1006.07	tif1	SPAC1006.07.1:pep	PS51192	PROFILE	50	220
SPAC1006.07	tif1	SPAC1006.07.1:pep	PS51194	PROFILE	231	392
SPAC1006.07	tif1	SPAC1006.07.1:pep	PS51195	PROFILE	19	47
SPAC1006.07	tif1	SPAC1006.07.1:pep	PTHR47958	PANTHER	16	378
SPAC1006.07	tif1	SPAC1006.07.1:pep	SM00487	SMART	38	235
SPAC1006.07	tif1	SPAC1006.07.1:pep	SM00490	SMART	272	353
SPAC1006.07	tif1	SPAC1006.07.1:pep	SSF52540	SUPERFAMILY	87	375
SPAC1006.07	tif1	SPAC1006.07.1:pep	cd18046	CDD	21	221
SPAC1006.07	tif1	SPAC1006.07.1:pep	cd18787	CDD	232	347
SPAC1006.08	etd1	SPAC1006.08.1:pep	PF20162	PFAM	238	335
SPAC1006.09	win1	SPAC1006.09.1:pep	G3DSA:1.10.510.10	Gene3D	1207	1419
SPAC1006.09	win1	SPAC1006.09.1:pep	G3DSA:3.30.200.20	Gene3D	1113	1206
SPAC1006.09	win1	SPAC1006.09.1:pep	PF00069	PFAM	1121	1406
SPAC1006.09	win1	SPAC1006.09.1:pep	PIRSF037579	PIRSF	1	1433
SPAC1006.09	win1	SPAC1006.09.1:pep	PS00107	PROSITE	1126	1149
SPAC1006.09	win1	SPAC1006.09.1:pep	PS00108	PROSITE	1240	1252
SPAC1006.09	win1	SPAC1006.09.1:pep	PS50011	PROFILE	1120	1406
SPAC1006.09	win1	SPAC1006.09.1:pep	PTHR48016	PANTHER	1088	1408
SPAC1006.09	win1	SPAC1006.09.1:pep	SM00220	SMART	1120	1406
SPAC1006.09	win1	SPAC1006.09.1:pep	SSF56112	SUPERFAMILY	1119	1412
SPAC1006.09	win1	SPAC1006.09.1:pep	cd06626	CDD	1119	1406
SPAC1039.01		SPAC1039.01.1:pep	G3DSA:1.20.1740.10	Gene3D	61	534
SPAC1039.01		SPAC1039.01.1:pep	PF13520	PFAM	65	509
SPAC1039.01		SPAC1039.01.1:pep	PIRSF006060	PIRSF	41	548
SPAC1039.01		SPAC1039.01.1:pep	PTHR45649	PANTHER	41	534
SPAC1039.02		SPAC1039.02.1:pep	G3DSA:3.60.21.10	Gene3D	36	381
SPAC1039.02		SPAC1039.02.1:pep	G3DSA:3.90.780.10	Gene3D	382	601
SPAC1039.02		SPAC1039.02.1:pep	PF00149	PFAM	49	272
SPAC1039.02		SPAC1039.02.1:pep	PF21953	PFAM	390	483
SPAC1039.02		SPAC1039.02.1:pep	PF21953	PFAM	493	554
SPAC1039.02		SPAC1039.02.1:pep	PIRSF017316	PIRSF	4	600
SPAC1039.02		SPAC1039.02.1:pep	PTHR11575	PANTHER	44	577
SPAC1039.02		SPAC1039.02.1:pep	SSF55816	SUPERFAMILY	382	596
SPAC1039.02		SPAC1039.02.1:pep	SSF56300	SUPERFAMILY	41	379
SPAC1039.02		SPAC1039.02.1:pep	cd07407	CDD	43	344
SPAC1039.03		SPAC1039.03.1:pep	G3DSA:3.40.50.1820	Gene3D	51	339
SPAC1039.03		SPAC1039.03.1:pep	PF07859	PFAM	104	315
SPAC1039.03		SPAC1039.03.1:pep	PTHR23024	PANTHER	67	317
SPAC1039.03		SPAC1039.03.1:pep	SSF53474	SUPERFAMILY	28	335
SPAC1039.04		SPAC1039.04.1:pep	G3DSA:1.20.1250.20	Gene3D	51	256
SPAC1039.04		SPAC1039.04.1:pep	G3DSA:1.20.1250.20	Gene3D	288	480
SPAC1039.04		SPAC1039.04.1:pep	PF07690	PFAM	65	421
SPAC1039.04		SPAC1039.04.1:pep	PS50850	PROFILE	61	476
SPAC1039.04		SPAC1039.04.1:pep	PTHR43791	PANTHER	13	483
SPAC1039.04		SPAC1039.04.1:pep	SSF103473	SUPERFAMILY	46	476
SPAC1039.04		SPAC1039.04.1:pep	cd17327	CDD	56	463
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	G3DSA:3.30.160.60	Gene3D	11	40
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	G3DSA:3.30.160.60	Gene3D	41	87
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	PF00096	PFAM	47	70
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	PF04082	PFAM	311	584
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	PS00028	PROSITE	19	41
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	PS00028	PROSITE	49	70
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	PS50157	PROFILE	17	46
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	PS50157	PROFILE	47	75
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	PTHR40626	PANTHER	6	780
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	SM00355	SMART	17	41
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	SM00355	SMART	47	70
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	SSF57667	SUPERFAMILY	13	65
SPAC1039.05c	klf1	SPAC1039.05c.1:pep	cd12148	CDD	301	654
SPAC1039.06		SPAC1039.06.1:pep	G3DSA:2.40.37.20	Gene3D	34	409
SPAC1039.06		SPAC1039.06.1:pep	G3DSA:3.20.20.10	Gene3D	42	282
SPAC1039.06		SPAC1039.06.1:pep	PF01168	PFAM	40	255
SPAC1039.06		SPAC1039.06.1:pep	PF14031	PFAM	302	398
SPAC1039.06		SPAC1039.06.1:pep	PTHR28004	PANTHER	22	414
SPAC1039.06		SPAC1039.06.1:pep	SM01119	SMART	300	400
SPAC1039.06		SPAC1039.06.1:pep	SSF51419	SUPERFAMILY	41	257
SPAC1039.06		SPAC1039.06.1:pep	cd06817	CDD	30	415
SPAC1039.07c		SPAC1039.07c.1:pep	G3DSA:3.40.640.10	Gene3D	68	332
SPAC1039.07c		SPAC1039.07c.1:pep	G3DSA:3.90.1150.10	Gene3D	39	432
SPAC1039.07c		SPAC1039.07c.1:pep	PF00202	PFAM	34	437
SPAC1039.07c		SPAC1039.07c.1:pep	PIRSF000521	PIRSF	35	139
SPAC1039.07c		SPAC1039.07c.1:pep	PIRSF000521	PIRSF	131	440
SPAC1039.07c		SPAC1039.07c.1:pep	PS00600	PROSITE	248	285
SPAC1039.07c		SPAC1039.07c.1:pep	PTHR45688	PANTHER	33	437
SPAC1039.07c		SPAC1039.07c.1:pep	SSF53383	SUPERFAMILY	19	437
SPAC1039.07c		SPAC1039.07c.1:pep	cd00610	CDD	17	437
SPAC1039.08		SPAC1039.08.1:pep	G3DSA:1.10.3130.10	Gene3D	2	150
SPAC1039.08		SPAC1039.08.1:pep	G3DSA:2.160.10.10	Gene3D	151	259
SPAC1039.08		SPAC1039.08.1:pep	NF041874	NCBIFAM	92	251
SPAC1039.08		SPAC1039.08.1:pep	PF00132	PFAM	201	236
SPAC1039.08		SPAC1039.08.1:pep	PF06426	PFAM	16	120
SPAC1039.08		SPAC1039.08.1:pep	PTHR42811	PANTHER	9	257
SPAC1039.08		SPAC1039.08.1:pep	SM00971	SMART	16	121
SPAC1039.08		SPAC1039.08.1:pep	SSF51161	SUPERFAMILY	15	252
SPAC1039.08		SPAC1039.08.1:pep	cd03354	CDD	148	248
SPAC1039.09	isp5	SPAC1039.09.1:pep	G3DSA:1.20.1740.10	Gene3D	77	547
SPAC1039.09	isp5	SPAC1039.09.1:pep	PF00324	PFAM	87	543
SPAC1039.09	isp5	SPAC1039.09.1:pep	PIRSF006060	PIRSF	70	563
SPAC1039.09	isp5	SPAC1039.09.1:pep	PS00218	PROSITE	112	143
SPAC1039.09	isp5	SPAC1039.09.1:pep	PTHR43341	PANTHER	72	573
SPAC1039.10	mmf2	SPAC1039.10.1:pep	G3DSA:3.30.1330.40	Gene3D	1	126
SPAC1039.10	mmf2	SPAC1039.10.1:pep	PF01042	PFAM	11	125
SPAC1039.10	mmf2	SPAC1039.10.1:pep	PTHR11803	PANTHER	13	125
SPAC1039.10	mmf2	SPAC1039.10.1:pep	SSF55298	SUPERFAMILY	11	125
SPAC1039.10	mmf2	SPAC1039.10.1:pep	TIGR00004	NCBIFAM	15	125
SPAC1039.10	mmf2	SPAC1039.10.1:pep	cd00448	CDD	17	124
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	G3DSA:2.60.40.1180	Gene3D	757	859
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	G3DSA:2.60.40.1180	Gene3D	860	992
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	G3DSA:2.60.40.1760	Gene3D	74	326
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	G3DSA:3.20.20.80	Gene3D	328	570
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	G3DSA:3.20.20.80	Gene3D	571	756
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	PF01055	PFAM	328	764
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	PF21365	PFAM	772	863
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	PS00129	PROSITE	495	502
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	PS00707	PROSITE	696	726
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	PS51257	PROFILE	1	23
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	PTHR22762	PANTHER	75	944
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	SSF51011	SUPERFAMILY	774	859
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	SSF51445	SUPERFAMILY	315	772
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	SSF74650	SUPERFAMILY	75	311
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	cd06602	CDD	326	769
SPAC1039.11c	gto1	SPAC1039.11c.1:pep	cd14752	CDD	198	326
SPAC105.01c	kha1	SPAC105.01c.1:pep	G3DSA:1.20.1530.20	Gene3D	23	428
SPAC105.01c	kha1	SPAC105.01c.1:pep	PF00999	PFAM	30	419
